problem_id,baseline,spec_NoSUT,spec_SUT,hybrid,variance
HumanEval_57,100.0,100.0,50.0,100.0,625.0
HumanEval_58,100.0,100.0,100.0,100.0,0.0
HumanEval_59,71.42857142857143,71.42857142857143,0.0,71.42857142857143,1275.5102040816325
HumanEval_60,100.0,100.0,0.0,100.0,2500.0
HumanEval_61,100.0,100.0,100.0,100.0,0.0
HumanEval_62,100.0,100.0,0.0,100.0,2500.0
HumanEval_63,88.23529411764706,100.0,94.11764705882354,70.58823529411765,161.4763552479815
HumanEval_64,88.23529411764706,88.23529411764706,88.23529411764706,88.23529411764706,0.0
HumanEval_65,100.0,100.0,100.0,100.0,0.0
HumanEval_66,75.0,75.0,75.0,75.0,0.0
HumanEval_67,100.0,100.0,100.0,100.0,0.0
HumanEval_68,100.0,100.0,22.22222222222222,100.0,1512.3456790123455
HumanEval_69,92.85714285714286,92.85714285714286,0.0,92.85714285714286,2155.6122448979595
HumanEval_70,100.0,100.0,100.0,100.0,0.0
HumanEval_71,92.0,92.0,92.0,92.0,0.0
HumanEval_72,87.5,68.75,68.75,87.5,117.1875
HumanEval_73,100.0,100.0,100.0,100.0,0.0
HumanEval_74,100.0,88.88888888888889,88.88888888888889,100.0,41.15226337448562
HumanEval_75,56.52173913043478,43.47826086956522,43.47826086956522,56.52173913043478,56.710775047258956
HumanEval_76,60.0,0.0,70.0,60.0,1025.0
HumanEval_77,100.0,100.0,100.0,100.0,0.0
HumanEval_78,100.0,100.0,100.0,100.0,0.0
HumanEval_79,100.0,100.0,100.0,100.0,0.0
HumanEval_80,89.47368421052632,63.1578947368421,84.21052631578948,89.47368421052632,156.97137580794092
HumanEval_81,100.0,89.47368421052632,86.84210526315789,100.0,47.899353647276115
HumanEval_82,100.0,100.0,61.53846153846154,100.0,369.82248520710056
HumanEval_83,100.0,100.0,22.22222222222222,100.0,1512.3456790123455
HumanEval_84,100.0,100.0,100.0,100.0,0.0
HumanEval_85,100.0,100.0,0.0,100.0,2500.0
HumanEval_86,100.0,100.0,,100.0,0.0
HumanEval_87,100.0,100.0,100.0,100.0,0.0
HumanEval_88,90.0,90.0,10.0,90.0,1600.0
HumanEval_89,93.33333333333331,93.33333333333331,93.33333333333331,93.33333333333331,0.0
HumanEval_90,100.0,100.0,100.0,100.0,0.0
HumanEval_91,100.0,100.0,100.0,100.0,0.0
HumanEval_92,90.9090909090909,81.81818181818181,0.0,100.0,2121.212121212121
HumanEval_93,100.0,100.0,100.0,100.0,0.0
HumanEval_94,81.81818181818181,77.27272727272727,77.27272727272727,81.81818181818181,6.8870523415978
HumanEval_95,77.14285714285714,74.28571428571429,80.0,77.14285714285714,5.442176870748288
HumanEval_96,81.81818181818181,81.81818181818181,0.0,81.81818181818181,1673.5537190082644
HumanEval_97,100.0,100.0,100.0,100.0,0.0
HumanEval_98,88.88888888888889,88.88888888888889,88.88888888888889,100.0,30.864197530864214
HumanEval_99,50.0,54.166666666666664,58.333333333333336,54.166666666666664,11.574074074074082
HumanEval_100,100.0,100.0,100.0,100.0,0.0
HumanEval_101,100.0,100.0,100.0,100.0,0.0
HumanEval_102,100.0,100.0,0.0,100.0,2500.0
HumanEval_103,100.0,100.0,100.0,100.0,0.0
HumanEval_104,100.0,100.0,100.0,100.0,0.0
HumanEval_105,81.81818181818181,100.0,100.0,100.0,82.6446280991736
HumanEval_106,96.15384615384616,96.15384615384616,0.0,96.15384615384616,2311.390532544379
HumanEval_107,100.0,100.0,0.0,100.0,2500.0
HumanEval_108,66.66666666666667,77.77777777777777,0.0,77.77777777777777,1399.17695473251
HumanEval_109,92.3076923076923,92.3076923076923,61.53846153846154,92.3076923076923,236.68639053254435
HumanEval_110,100.0,100.0,100.0,100.0,0.0
HumanEval_111,85.71428571428571,85.71428571428571,85.71428571428571,85.71428571428571,0.0
HumanEval_112,100.0,100.0,100.0,100.0,0.0
HumanEval_113,100.0,100.0,5.2631578947368425,100.0,2243.7673130193903
HumanEval_114,88.88888888888889,88.88888888888889,0.0,88.88888888888889,1975.3086419753083
HumanEval_115,100.0,100.0,100.0,100.0,0.0
HumanEval_116,66.66666666666667,33.333333333333336,33.333333333333336,66.66666666666667,370.37037037037044
HumanEval_117,100.0,100.0,100.0,100.0,0.0
HumanEval_118,82.14285714285714,64.28571428571429,82.14285714285714,85.71428571428571,93.53741496598629
HumanEval_119,100.0,96.42857142857144,46.42857142857143,100.0,688.7755102040816
HumanEval_120,100.0,100.0,100.0,100.0,0.0
HumanEval_121,100.0,100.0,0.0,100.0,2500.0
HumanEval_122,100.0,100.0,100.0,100.0,0.0
HumanEval_123,62.5,62.5,4.166666666666667,62.5,850.6944444444445
HumanEval_124,45.833333333333336,39.583333333333336,31.25,50.0,66.55092592592594
HumanEval_125,100.0,100.0,100.0,100.0,0.0
HumanEval_126,92.85714285714286,92.85714285714286,71.42857142857143,92.85714285714286,114.79591836734697
HumanEval_127,60.714285714285715,53.57142857142857,85.71428571428571,60.714285714285715,198.767006802721
HumanEval_128,83.33333333333333,83.33333333333333,8.333333333333334,83.33333333333333,1406.2499999999998
HumanEval_129,66.66666666666667,84.84848484848484,87.87878787878788,84.84848484848484,94.12304866850313
HumanEval_130,100.0,100.0,0.0,100.0,2500.0
HumanEval_131,82.3529411764706,82.3529411764706,0.0,82.3529411764706,1695.5017301038063
HumanEval_132,90.0,85.0,75.0,90.0,50.0
HumanEval_133,100.0,100.0,100.0,100.0,0.0
HumanEval_134,84.61538461538461,84.61538461538461,84.61538461538461,84.61538461538461,0.0
HumanEval_135,84.61538461538461,84.61538461538461,30.76923076923077,84.61538461538461,724.852071005917
HumanEval_136,100.0,100.0,0.0,100.0,2500.0
HumanEval_137,88.88888888888889,66.66666666666667,0.0,88.88888888888889,1769.5473251028804
HumanEval_138,100.0,100.0,0.0,100.0,2500.0
HumanEval_139,90.9090909090909,90.9090909090909,0.0,90.9090909090909,2066.115702479339
HumanEval_140,88.23529411764706,90.19607843137256,92.15686274509804,90.19607843137256,2.5631167499679615
HumanEval_141,96.29629629629628,88.88888888888889,92.5925925925926,100.0,22.86236854138087
HumanEval_142,94.44444444444444,94.44444444444444,94.44444444444444,94.44444444444444,0.0
HumanEval_143,73.6842105263158,73.6842105263158,73.6842105263158,73.6842105263158,0.0
HumanEval_144,100.0,92.3076923076923,100.0,100.0,14.792899408284027
HumanEval_145,0.0,33.333333333333336,0.0,60.0,844.4444444444445
HumanEval_146,95.0,95.0,0.0,95.0,2256.25
HumanEval_147,85.71428571428571,85.71428571428571,85.71428571428571,85.71428571428571,0.0
HumanEval_148,95.0,95.0,95.0,95.0,0.0
HumanEval_149,100.0,100.0,0.0,100.0,2500.0
HumanEval_150,85.71428571428571,85.71428571428571,85.71428571428571,85.71428571428571,0.0
HumanEval_151,90.9090909090909,81.81818181818181,9.090909090909092,90.9090909090909,1570.2479338842975
HumanEval_152,100.0,100.0,100.0,100.0,0.0
HumanEval_153,94.73684210526316,73.6842105263158,68.42105263157895,94.73684210526316,191.59741458910443
HumanEval_154,69.23076923076923,69.23076923076923,69.23076923076923,69.23076923076923,0.0
HumanEval_155,100.0,100.0,100.0,100.0,0.0
HumanEval_156,79.54545454545455,0.0,79.54545454545455,79.54545454545455,1581.8698347107438
HumanEval_157,81.25,43.75,0.0,81.25,1494.140625
HumanEval_158,100.0,100.0,0.0,100.0,2500.0
HumanEval_159,80.0,80.0,80.0,80.0,0.0
HumanEval_160,100.0,100.0,100.0,100.0,0.0
HumanEval_161,89.47368421052632,89.47368421052632,89.47368421052632,89.47368421052632,0.0
HumanEval_162,0.0,100.0,100.0,100.0,2500.0
HumanEval_163,90.0,90.0,0.0,90.0,2025.0
