problem_id,status,coverage_before,coverage_after
HumanEval_79,already_100,100.0,100.0
HumanEval_80,already_100,100.0,100.0
HumanEval_81,already_100,100.0,100.0
HumanEval_82,already_100,100.0,100.0
HumanEval_83,already_100,100.0,100.0
HumanEval_84,already_100,100.0,100.0
HumanEval_85,already_100,100.0,100.0
HumanEval_86,already_100,100.0,100.0
HumanEval_87,already_100,100.0,100.0
HumanEval_88,already_100,100.0,100.0
HumanEval_89,already_100,100.0,100.0
HumanEval_90,already_100,100.0,100.0
HumanEval_91,already_100,100.0,100.0
HumanEval_92,already_100,100.0,100.0
HumanEval_93,already_100,100.0,100.0
HumanEval_94,already_100,100.0,100.0
HumanEval_95,already_100,100.0,100.0
HumanEval_96,success,95.0,95.0
HumanEval_97,already_100,100.0,100.0
HumanEval_98,already_100,100.0,100.0
HumanEval_99,already_100,100.0,100.0
HumanEval_100,already_100,100.0,100.0
HumanEval_101,already_100,100.0,100.0
HumanEval_102,already_100,100.0,100.0
HumanEval_103,already_100,100.0,100.0
HumanEval_104,already_100,100.0,100.0
HumanEval_105,already_100,100.0,100.0
HumanEval_106,already_100,100.0,100.0
HumanEval_107,already_100,100.0,100.0
HumanEval_108,already_100,100.0,100.0
HumanEval_109,already_100,100.0,100.0
HumanEval_110,already_100,100.0,100.0
HumanEval_111,already_100,100.0,100.0
HumanEval_112,already_100,100.0,100.0
HumanEval_113,already_100,100.0,100.0
HumanEval_114,already_100,100.0,100.0
HumanEval_115,already_100,100.0,100.0
HumanEval_116,already_100,100.0,100.0
HumanEval_117,already_100,100.0,100.0
HumanEval_118,already_100,100.0,100.0
HumanEval_119,already_100,100.0,100.0
HumanEval_120,already_100,100.0,100.0
HumanEval_121,already_100,100.0,100.0
HumanEval_122,already_100,100.0,100.0
HumanEval_123,already_100,100.0,100.0
HumanEval_124,success,87.0,94.0
HumanEval_125,already_100,100.0,100.0
HumanEval_126,already_100,100.0,100.0
HumanEval_127,coverage_decreased,91.0,91.0
HumanEval_128,already_100,100.0,100.0
HumanEval_129,no_coverage_data,N/A,N/A
HumanEval_130,already_100,100.0,100.0
HumanEval_131,already_100,100.0,100.0
HumanEval_132,success,93.0,100.0
HumanEval_133,already_100,100.0,100.0
HumanEval_134,already_100,100.0,100.0
HumanEval_135,already_100,100.0,100.0
HumanEval_136,already_100,100.0,100.0
HumanEval_137,success,80.0,100.0
HumanEval_138,already_100,100.0,100.0
HumanEval_139,success,80.0,100.0
HumanEval_140,already_100,100.0,100.0
HumanEval_141,already_100,100.0,100.0
HumanEval_142,already_100,100.0,100.0
HumanEval_143,success,85.0,100.0
HumanEval_144,already_100,100.0,100.0
HumanEval_145,already_100,100.0,100.0
HumanEval_146,already_100,0.0,0.0
HumanEval_147,already_100,100.0,100.0
HumanEval_148,already_100,100.0,100.0
HumanEval_149,already_100,100.0,100.0
HumanEval_150,already_100,100.0,100.0
HumanEval_151,already_100,100.0,100.0
HumanEval_152,already_100,100.0,100.0
HumanEval_153,already_100,100.0,100.0
HumanEval_154,already_100,100.0,100.0
HumanEval_155,already_100,100.0,100.0
HumanEval_156,success,90.0,100.0
HumanEval_157,success,86.0,100.0
HumanEval_158,success,93.0,100.0
HumanEval_159,already_100,100.0,100.0
HumanEval_160,already_100,100.0,100.0
HumanEval_161,already_100,100.0,100.0
HumanEval_162,already_100,100.0,100.0
HumanEval_163,already_100,100.0,100.0
